Malét a mbôñe hyémbi.	Màlêt à mɓōŋɛ hyembi.
"Mandon moñ ni mbihla yoñ bon ba bé yumus we" Yés 47:10.	"Màndɔn mɔŋ nı̀ mɓı̀hla yɔŋ ɓɔn ɓa ɓe yumūs wɛ̀" Yès 47:10.
Nlôm pagi a nnyodi le huum, a jôp bikay .	Ǹlom pagı̄ à nnyɔ̄di lɛ huum, à jôp bı̀kay .
U nsédne me ño.	Ù nsédne mɛ̀ ŋɔ.
A ñkémhe i jam me mpot.	À ñkémhe i jàm mɛ̀ mpɔ̄t.
Hinuni hi yé jumbul hyotama.	Hı̀nùni hi yè jumbul hyotama.
Ndap i nlék.	Ndap i nlēk.
Hyandi hyéé; i hyéé .	Hyàndi hyéé; i hyèe .
Bina ba mbôlô yem, kôp yem.	Bina ɓa mbôlô yɛ̂m, kop yɛ̂m.
A nlup man môô.	À nlup man moo.
U yé ñgi hôlôl nañ.	Ù yè ŋgı̀ holol nàŋ.
Nsoñ a ntek ñkéés.	Ǹsɔŋ à ntɛ̄k ñkéés.
Mbombok a ñkan mut manola (kénés).	Mbɔmbɔ̀k à ŋ̀kan mùt manola (kénés).
Ba ñkénél mut i dokta.	Ɓa ñkénél mùt i dɔ̂ktà.
Libuba li kôp.	Libuba li kop.
A nlôl bijek gwéé.	À nlòl bı̀jɛk gwee.
Kii u ñkumul me mbus.	Kii u ŋkùmul mɛ̀ mbūs.
Mban lop, mban amb.	Mban lɔ̄p, m̂ɓan amb.
Lek hibee.	Lɛk hı̀ɓɛ̀ɛ.
Héhél me tjandi tjem.	Héhél mɛ̀ candi tjem.
Mut bibéba bi mam a nsegel.	Mùt biɓeba bi màm à nsegel.
Litol bibañga.	Lı̀tɔl bibañga.
Ñgéñgéhi dikôa di ntôl i loñ jaman.	Ñgéñgéhi dikòa dı̀ ntòl i lɔ̀ŋ jamân.
Me nhyôlôl nye ndap.	Mɛ̀ nhyolol nyɛ ndap.
Kônde a yé nsoñgi u nlet bé.	Kòndɛ à yè ǹsɔ̀ŋgi u nlɛ̀t ɓe.
Me ni liwanda jem di bisôblaha.	Mɛ̀ nı̀ lı̀wanda jɛ̂m dı̀ bisôblaha.
Me ni liwanda jem di bisôblaha.	Mɛ̀ nı̀ lı̀wanda jɛ̂m dı̀ bisôblaha.
Lés jéunés fillés ônt tréssé léurs tjhévéux én mémé témps.	Lés jéunés fillés ônt tréssé léurs tjhévéux én mémé témps.
mbuge jam.	mbuge jàm.
Me nhihe nye woo.	Mɛ̀ nhihe nyɛ wɔ̀ɔ.
Ñkadak likondo u nhék nye libit.	Ŋ̀kadâk likɔ̀ndɔ̀ u nhek nyɛ liɓı̄t.
Bijek bi mmal dibee fetfet.	Bı̀jɛk bi m̂mâl diɓɛ̀ɛ fɛtfɛt.
Hon kila me ntehe !	Hɔ̀n kilâ mɛ̀ ǹtɛhɛ !
Me mbôñe we.	Mɛ̀ mɓōŋɛ wɛ̂.
Lahe yem i yé hee?	Lahɛ yɛ̂m i yè hɛɛ?
ini a bé hañ bé ni tima ndoga i kiisin yéé .	ı̀ni à ɓe haŋ ɓe nı̀ tima ndoga i kı̄isı̀n yèe .
Léndés me kaat ini.	Léndés mɛ̀ kààt ı̀ni.
Ñkôm u nhuua .	Ŋ̀̀kom u nhuua .
Koo i édi i kék.	Kɔ̀ɔ̀ i edi i kek.
Ba ntjañge moni.	Ɓa ntjañge mɔ̀ni.
Me mbel kôñba lilañ i mbaa ndap yem.	Mɛ̀ mɓɛ̀l kôñba lilàŋ i mbàà ndap yɛ̂m.
Bôdaa ba mbéna bôñôl mabôda inyuu tabal bon.	Ɓòdàa ɓa mɓèna ɓoŋōl mabôda inyùu tabal ɓɔn.
"Kaaba i mut a nnoñ maliga".	"Kaaba i mùt à nnɔ̀ŋ maliga".
Kon njal, kon ñgoo, kon woñi, kon ñgôñ.	Kɔ̀n njal, kɔ̀n ñgoo, kɔ̀n wɔŋi, kɔ̀n ŋgôŋ.
Njôñ i yé béba lem.	Njòŋ i yè ɓeba lem.
Hiloga hyoñ hi yé hikôghe .	Hı̀lɔga hyɔŋ hi yè hikôghe .
Wo mahiha.	Wɔ mahiha.
Mbok mbôgi; mbok dinyet.	Mbɔk mbôgi; mbɔk dinyɛ̀t.
Me mbôñôs nson.	Mɛ̀ mbôñôs ǹsɔn.
Inyukii u ñgwel nye?	Inyǔkı̄i u ŋ̀gwɛ̂l nyɛ?
Kii u mbômbana?	Kii u mbômbana?
Likap li yé lem lam.	Lı̀kap li yè lɛ̄m lam.
Kôsi i mpéba i ñwii.	Kôsi i mpèbà i ŋwı̀ı̀.
Libañge li me nsomb li mmal.	Libañge li mɛ̀ ǹsɔmb li mmâl.
Téblé yem i gwéé bikônda bina.	Teblè yɛ̂m i gwèe bikònda bina.
Lisañ lini jon me nlôl.	Lisañ lini jɔn mɛ̀ ǹlôl.
Yén ikédé yés, le ndi mbuu wés, nom yés ni nyuu yés ba gwélél we nya i téé, ndi ba téé ki jôy joñ lipubhaga...	Yěn ikède yês, lɛ ndi mbuu wěs, nɔ̀m yes nı̀ nyùu yes ɓa gwèlèl wɛ nyà i téé, ndi ɓa tee ki jòy jɔŋ lipubhaga...
So ñgok, baso ba ñgok.	Sɔ ŋgɔ̂k, ɓàsɔ ɓa ŋgɔ̀k.
Libohok lini mudaa nunu a mbos we u nla kônd jék.	Libohok lini mùdàa nunu à mbos wɛ u nlà kond jék.
At mabadô, at mahoñol.	Àt mabadô, at màhɔŋɔ̂l.
Kindle me hibee hini.	Kindle mɛ̀ hı̀ɓɛ̀ɛ hini.
Bakwede ba nne nsoot.	Bakwede ɓa nnɛ̀ nsoot.
U nsôk suglu, di nsugha i mitin.	Ù ǹsok sǔglù, dı̀ nsugha i mı̄tı̀n.
Lehep sôya = ndehep séya.	Lehep soyà = ndehep seya.
Me nyon; ñkuu u nyon.	Mɛ̀ nyon; ŋ̀kuu u ńyɔ̂n.
Kinje mañge mudaa a nlogop!	Kinjɛ̄ màŋgɛ mùdàa à nlogop!
U ôbôs bañ me kilok.	Ù òbos ɓâŋ mɛ̀ kı̀lɔ̂k.
Ñwemel u ñkwéhba.	Ŋwɛ̀mɛl u ŋkwehɓà.
Kakaô a biumbba ñgandak i ndap.	Kàkaò à biumbba ŋgàndàk i ndap.
Me mbañdana ndigi ni ntoñ.	Mɛ̀ mbañdana ndigi nı̀ ntɔŋ.
Libôñgôl li man li ta bé bun.	Libôñgôl li man li ta ɓe ɓûn.
Lona me bihule gwem.	Lɔ̀na mɛ̀ bihule gwɛ̂m.
Bina ngélé ba.	Bina ngélé ɓâ.
Di ñkwiiha miñkuu ñwés.	Dı̀ ŋ̀kwiı̄ha miñkuu ŋwes.
Siñgi i ñgwel tôle.	Siŋgi i ŋ̀gwɛ̂l tolɛ̀.
A nsôô liek li yé nye i nyo.	À ǹsòò liek li yè nyɛ i nyɔ̀.
I su nyen a ntonbana libu.	I su nyɛn à ntonbana lı̀ɓu.
Bañga bañga.	Ɓàŋga ɓàŋga.
Habna yem i bitamb i m[244]bugi .	Habna yɛ̂m i bı̀tamb i m[244]bugi .
U hegba bañ yañan mbot.	Ù hɛ̂gɓa ɓâŋ yàŋan mbɔt.
Ntômde mut.	Ntômde mût.
Ntômde mut.	Ntômde mût.
Pat mut.	Pat mût.
Mut a ñkala ni hiun.	Mùt à ñkala nı̀ hı̀un.
Me nsiiba nyoo.	Mɛ̀ ǹsiı̄ba nyɔɔ.
Mbara likondo.	Mbara likɔ̀ndɔ̀.
Johop li hyéé i kiisin li nnumbha nye hida.	Johop li hyèe i kı̄isı̀n li nnumbha nyɛ hida.
Libômlak matôa ma mbômôl nye a bak ha bé le a nniñ.	Libômlak matoà ma mɓomōl nyɛ à ɓak ha ɓe lɛ à nniñ.
Di bikwéébaha.	Dı̀ bikwéébaha.
Hanano di gwéé bôt ba nson.	Hanânɔ dı̀ gwèe ɓòt ɓa ǹsɔn.
Mañge a nlamal nyo mbus je.	Màŋgɛ à nlamal nyɔ̀ mbūs jɛ.
Me ñwéblaha e; di ñwéblaha liseñg.	Mɛ̀ ñwéblaha ɛ; dı̀ ñwéblaha lisɛŋg.
Balét ba yé i noy.	Ɓàlêt ɓa yè i nɔ̀y.
A nlôl makanba.	À nlòl makanba.
Ba ñkit likula li kôp.	Ɓa ŋ̀kit likula li kop.
Nyoo i a me man yani ni me me tibil nye.	Nyɔ̀ɔ i à mɛ̀ man yani nı̀ mɛ̀ mɛ̀ tibil nyɛ.
Éña i mbugi keñ!.	Eŋa i mɓugı̂ keñ!.
Ba nhéhha tjandi hi ñgéda.	Ɓa nhéhha candi hi ŋgedà.
A nhyôô maok ma lién.	À ǹhyoo màɔ̀k ma lien.
Me ñgwés ntude minsôa.	Mɛ̀ ŋgwēs ntude mı̀nsòa.
"Ba kwélél ki inyuu lipémba joñ" Hyém 145:11b.	"Ɓa kwélél ki inyùu lı̀pemba joñ" Hyèm 145:11b.
Mut ba nsébél le Mpôdôl hanano nyen a ba séblana (i) ñgéda bisu le Ntehemam...(1samuel 9,11)	Mùt ɓa nsèbel lɛ M̀podôl hānânɔ nyɛn à ɓa sèblana (i) ŋgèdà bisū lɛ Ntehemam...(1samuel 9,11)
Loo di siñ!	Lɔ̀ɔ dı̀ siñ!
Jinda li binuga, jinda li bôt.	Jinda li binuga, jinda li ɓôt.
Lilep mut.	Lilep mût.
Mboy u mpan.	Mboy u m̂pàn.
Me ñôm hinuni i papay.	Mɛ̀ ŋ̀om hinùni i papay.
Man a nhômb ndi a gwal numpe.	Mǎn à nhômb ndi à gwâl nûmpɛ.
Bitôñ bi mbédba i tén ñgañ.	Bı̀tòŋ bi mbédba i ten ŋgaŋ.
Ñgut ibaa ñgééha.	Ñgut iɓaà ñgééha.
U mbéndha me mapep.	Ù m̂ɓêndhā mɛ̀ mapɛp.
Béñgne minsoñ i yé i dokta Libamba.	Ɓèŋgnɛ mı̀nsɔŋ i yè i dɔ̂ktà Liɓamba.
Hiñgôya hi gwéé ñguy.	Hiñgôya hi gwèe ŋgùy.
Mañ mut unu u ñeñ maén hi kôkôwa.	Maŋ mùt unu u ñeñ màen hi kôkôwa.
Limbee li mut.	Limbee li mût.
Ndi we, ñgéda u nsôga je, hoo ño woñ môô, u soo ki su woñ...(Mt 6,17).	Ndi wɛ̂, ŋgèdà u nsôga jɛ, hɔ̄ɔ ŋɔ wɔŋ mòo, u sɔ̀ɔ ki su woñ...(Mt 6,17).
Bee i nhuna.	Ɓɛɛ i nhuna.
